	17-AAG	AEW541	AZD0530	AZD6244	Erlotinib	Irinotecan	L-685458	Lapatinib	LBW242	Nilotinib	Nutlin-3	Paclitaxel	Panobinostat	PD-0325901	PD-0332991	PF2341066	PHA-665752	PLX4720	RAF265	Sorafenib	TAE684	TKI258	Topotecan	ZD-6474
GAMG_CENTRAL_NERVOUS_SYSTEM	0.08195965	8.421096765	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.01454006	0.144322082	2.469465971	NaN	NaN	NaN	NaN	NaN	NaN	4.337661743	8.733408264	1.969703078	NaN
GB1_CENTRAL_NERVOUS_SYSTEM	0.726430118	2.476015329	NaN	0.586713016	2.154639244	0.078804962	8.72655617	NaN	NaN	NaN	NaN	0.046106149	0.097830728	8.9177939	8.495884836	3.723583698	NaN	2.528630733	0.160627857	7.668397427	2.057009935	1.918980718	0.038113076	NaN
GCIY_STOMACH	0.75508374	9.64981753	1.262849927	NaN	8.908105721	NaN	NaN	9.026770702	NaN	8.158780984	8.472566262	0.064762153	0.0610063	8.954344384	NaN	NaN	NaN	NaN	8.76778589	NaN	8.191996887	7.788484573	0.662164986	1.97606802
GCT_SOFT_TISSUE	0.294174373	8.810560254	1.24093914	0.158939824	8.169985783	0.042752914	7.746426582	3.483610868	0.393072158	8.100199047	NaN	0.002542614	0.067029089	0.004670071	1.470052719	4.695664406	NaN	8.703121904	0.212366179	4.183875561	1.933865547	1.676169395	0.045519806	7.35263443
GI1_CENTRAL_NERVOUS_SYSTEM	0.15393959	2.486175776	NaN	NaN	NaN	NaN	NaN	2.119527817	NaN	NaN	NaN	0.013168042	0.056109346	8.543831326	NaN	2.141913652	NaN	NaN	NaN	NaN	3.254235029	1.960757136	8.247412207	NaN
GLC82_LUNG	0.045344491	0.274161726	NaN	NaN	0.640978873	1.160270333	NaN	8.044870906	NaN	8.106633654	NaN	0.002542614	0.02601218	8.830148887	0.002542614	5.936676502	NaN	7.238607883	0.210393921	NaN	1.367936015	8.746583421	2.028290033	3.683340073
GMS10_CENTRAL_NERVOUS_SYSTEM	0.208066851	5.100087166	1.20294416	NaN	NaN	1.809732676	NaN	NaN	1.465238929	NaN	NaN	0.005710164	0.202794597	3.883296251	2.798555374	2.858497143	NaN	NaN	2.006726265	NaN	7.680865765	8.468797121	4.860681057	NaN
GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NaN	1.398884416	0.002542614	NaN	NaN	0.014287763	NaN	NaN	NaN	NaN	2.981480837	NaN	0.028866598	NaN	0.576317847	2.573021412	NaN	NaN	8.306994121	NaN	0.722523868	2.827142954	0.041979648	1.196974516
H4_CENTRAL_NERVOUS_SYSTEM	0.144919693	8.075872985	NaN	NaN	2.658244133	NaN	NaN	NaN	NaN	8.004673578	3.303859472	0.03547791	0.063156381	NaN	2.52644825	8.00827674	NaN	NaN	7.906908512	NaN	2.599748135	2.064882278	0.433065057	2.008414507
HARA_LUNG	0.192938626	8.608051705	2.579946041	NaN	1.001384735	NaN	NaN	8.861800421	NaN	NaN	NaN	0.008577128	0.124379024	8.475510472	NaN	NaN	NaN	NaN	2.211768627	NaN	2.87883091	8.671388354	0.219012856	2.15157342
HCC1187_BREAST	1.017667413	NaN	8.486227374	NaN	NaN	NaN	0.564342201	NaN	NaN	NaN	NaN	0.012309728	0.075580336	NaN	NaN	NaN	NaN	NaN	8.413896109	NaN	NaN	2.78186059	8.273657964	NaN
HCC1395_BREAST	0.010956545	0.57633698	NaN	NaN	8.338648497	NaN	1.031255603	0.753262937	NaN	NaN	NaN	0.010007542	0.667128921	1.052071214	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.396173969	0.024211278	NaN
HCC15_LUNG	0.03170532	8.044845396	2.067428589	8.147726577	NaN	NaN	NaN	NaN	1.227450371	NaN	1.816307545	0.008919747	0.034734242	0.026453476	8.169823879	3.256439209	NaN	NaN	8.664965656	NaN	1.461821079	8.574451837	0.538516521	2.197055817
HCC1569_BREAST	0.144838095	1.820515752	1.95031023	NaN	NaN	0.769925237	NaN	NaN	NaN	8.060549212	NaN	NaN	0.262126952	0.002542614	8.421156871	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.909291029	2.61330533
HCC1806_BREAST	0.059570543	8.028769914	0.431944311	0.08744017	1.954791307	NaN	7.753481865	NaN	NaN	8.003666774	9.03774031	0.002542614	0.040593732	0.038444895	NaN	3.431067467	NaN	NaN	0.323268682	8.041353408	2.44173193	3.554207802	0.062321987	1.271851301
HCC1954_BREAST	0.053708408	8.922730124	1.541207671	NaN	1.433703661	NaN	NaN	8.357420767	NaN	3.300563574	NaN	0.008352162	0.056485623	0.004156668	0.596598744	8.072483433	NaN	NaN	8.787153445	6.816840172	6.896231651	8.577659646	1.892754197	2.134763956
HCC2935_LUNG	0.015474424	0.402578533	0.605257571	NaN	0.183143467	0.890125155	NaN	1.39151454	NaN	8.19167101	NaN	NaN	0.114116356	NaN	NaN	NaN	NaN	NaN	0.67730546	NaN	7.960268974	NaN	8.187172192	0.088621557
HCC4006_LUNG	0.032509625	8.670381391	0.886209369	4.118072033	0.110252991	0.556358397	NaN	2.355744839	NaN	8.33766156	NaN	0.002542614	0.05909384	8.499871275	0.729842603	6.305928707	NaN	NaN	8.283314903	8.138365076	8.48423747	8.577643282	8.657789319	0.41164425
HCC44_LUNG	0.062767997	8.560937849	NaN	2.866830111	8.705939726	NaN	NaN	NaN	0.532966197	NaN	NaN	0.011043856	0.063464969	8.000812234	NaN	NaN	NaN	NaN	8.634862538	NaN	6.030266762	8.807569599	1.162171006	NaN
HCC56_LARGE_INTESTINE	NaN	2.703020334	0.15779759	0.124425307	0.460833997	0.947291017	NaN	8.624270169	2.483313322	NaN	NaN	0.171231195	0.045611691	0.005157314	NaN	NaN	NaN	NaN	NaN	NaN	7.454293251	NaN	8.201244472	0.716956615
HCC70_BREAST	7.088535118	NaN	NaN	0.125415251	NaN	0.075725049	NaN	8.132246633	NaN	NaN	NaN	5.986502122	0.086608	7.083399927	NaN	7.041330814	NaN	NaN	8.45733303	NaN	NaN	2.4629133	0.068237305	3.633477688
HCC78_LUNG	0.187795743	1.725404382	NaN	NaN	NaN	NaN	NaN	0.926578164	NaN	NaN	NaN	0.018740568	0.084972508	NaN	8.258199538	8.544915984	NaN	NaN	4.958338261	NaN	0.878724694	NaN	0.130419433	NaN
HCC827_LUNG	0.12517111	NaN	0.403383762	NaN	0.029334972	NaN	NaN	NaN	NaN	NaN	NaN	0.008939037	0.102085918	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.773231297	0.307156295
HCT116_LARGE_INTESTINE	0.178582862	3.317116261	NaN	NaN	NaN	0.230808109	NaN	NaN	NaN	8.401109818	NaN	0.002542614	0.040153056	0.277186483	NaN	6.490972996	NaN	NaN	2.566114902	6.081815243	8.886339973	8.445617333	0.17531848	NaN
HCT15_LARGE_INTESTINE	0.515514553	8.645836873	8.447515814	NaN	8.169568807	0.233905166	NaN	8.597037519	NaN	8.806065405	NaN	0.288159758	0.197607845	8.364853844	NaN	7.953935146	NaN	8.001684309	0.548357964	8.629457783	8.56580063	8.878854297	0.344557822	8.359644981
HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.147855014	8.506471239	8.032328649	0.24595207	3.82346797	NaN	NaN	8.411270266	NaN	NaN	NaN	0.004230207	0.073874019	0.00476073	NaN	3.424543858	NaN	4.150444984	NaN	8.065450755	2.491329908	2.356366873	0.038368884	NaN
HDQP1_BREAST	0.098501183	8.550541503	0.42085582	0.74307102	0.154859424	0.17001155	NaN	0.445293456	NaN	NaN	NaN	NaN	0.036819633	8.493745833	NaN	NaN	NaN	NaN	0.159010917	NaN	NaN	NaN	0.195853725	1.712256193
HEC151_ENDOMETRIUM	0.173502579	NaN	0.932121098	1.463135958	0.105709143	0.299900383	NaN	8.186836041	NaN	7.329790115	NaN	0.002542614	0.023240991	0.04823244	NaN	NaN	NaN	NaN	0.085789233	7.913124084	1.719371915	1.698610783	0.439593494	1.635670304
HEC1A_ENDOMETRIUM	0.1191165	0.395035923	8.558108252	NaN	NaN	NaN	NaN	NaN	NaN	7.230309486	NaN	0.002542614	0.043808322	NaN	0.764195979	3.50427556	NaN	NaN	8.291243339	6.771798611	2.337085724	8.797150713	0.766195416	2.182020903
HEC1B_ENDOMETRIUM	0.042914387	8.072138702	0.041293759	0.023842728	7.174179077	8.371686017	NaN	NaN	NaN	NaN	NaN	0.005633388	0.02214017	0.002542614	2.772366047	3.861989975	NaN	NaN	0.255533576	NaN	NaN	NaN	0.397488713	0.367575765
HEC251_ENDOMETRIUM	8.61799467	NaN	4.202255726	NaN	0.438649237	2.192310095	8.395385682	0.270502985	NaN	NaN	NaN	0.011104086	0.051025894	0.035637319	NaN	NaN	NaN	NaN	0.323134929	8.186910633	2.951519728	8.996366317	8.597872282	3.690776825
HEC265_ENDOMETRIUM	0.043697171	NaN	NaN	NaN	NaN	0.322805971	NaN	2.715893984	NaN	NaN	NaN	0.002542614	0.058366895	NaN	NaN	NaN	NaN	NaN	0.481613576	7.020515919	7.212037086	8.270260584	0.424771756	8.956433809
HEC59_ENDOMETRIUM	0.238041714	3.453911781	NaN	NaN	NaN	0.11827153	1.329851031	NaN	2.587257624	NaN	NaN	NaN	0.06655626	0.098127663	3.958518505	4.639713764	NaN	8.116057058	0.359331727	4.202868462	2.417768717	7.920575619	0.09498322	NaN
HEC6_ENDOMETRIUM	0.262559563	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.002685017	0.025089432	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.873397708	NaN
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.560896754	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.066357106	0.057323996	0.014867549	NaN	NaN	NaN	NaN	8.035385306	NaN	NaN	8.532434722	0.443753392	NaN
HEP3B217_LIVER	0.201482788	1.634837031	NaN	2.789827347	NaN	1.497975349	NaN	NaN	NaN	3.336803436	NaN	NaN	0.065728128	0.960415125	NaN	5.654317379	NaN	NaN	NaN	6.209504128	1.341786504	2.265487671	NaN	2.603615999
HEPG2_LIVER	0.026127659	8.899463028	0.604638755	0.00298507	8.269482414	0.191375822	NaN	NaN	NaN	NaN	NaN	0.025884299	0.039101176	0.00375666	0.818560481	2.482724905	3.472042322	9.10297665	8.310481229	NaN	0.183317095	4.383543968	0.174921334	NaN
HEYA8_OVARY	0.080627881	8.767516153	7.59897089	8.387392594	8.726591628	0.159800962	NaN	2.017758608	NaN	2.030411243	8.332887199	0.012455361	0.057224706	0.139929116	0.946791947	7.476478577	NaN	NaN	0.191691667	3.530838966	2.578943014	2.065345526	0.057533279	NaN
HGC27_STOMACH	0.193859294	8.822166677	5.936971664	NaN	8.572992371	0.103318989	8.450955564	3.381972075	NaN	8.920719027	NaN	0.00513293	0.023013532	NaN	0.53913492	2.975087881	3.231816292	4.040738106	3.251375437	8.392684168	1.097139239	8.001626272	0.146994576	3.708866596
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.230489343	NaN	NaN	NaN	NaN	NaN	8.41039136	NaN	NaN	NaN	NaN	0.010357419	0.014761875	NaN	0.559993267	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.049051758	NaN
HLE_LIVER	0.530987263	NaN	NaN	NaN	9.287954338	0.406325698	NaN	NaN	NaN	NaN	NaN	0.110680811	0.135226205	8.665749495	NaN	NaN	NaN	NaN	0.557930768	NaN	5.943342686	1.470849156	0.772153735	2.232011557
HLF_LIVER	0.212694153	8.147836174	0.468688577	NaN	8.315647428	0.251797259	NaN	8.114125709	NaN	NaN	NaN	0.095295236	0.106608033	0.057037335	NaN	8.039900682	7.182582378	NaN	8.784081369	8.385945421	4.830480576	8.252643764	0.393866122	3.74600625
HMC18_BREAST	0.09855096	8.089087838	NaN	0.127403423	NaN	0.363111973	NaN	3.51103878	NaN	2.920504093	NaN	0.002542614	0.181523874	0.022083836	0.644022286	4.688372135	NaN	NaN	5.06136179	3.643955708	2.863578796	3.586217403	0.642799377	NaN
HMCB_SKIN	0.031231295	8.466348922	8.819000408	8.880482931	2.144095898	0.187500775	NaN	2.660292149	NaN	8.688573093	NaN	0.010383604	0.037890829	8.979474182	8.098842052	7.446203709	8.51023704	3.051427126	0.123674728	7.922014236	1.190208197	0.502947986	0.18413873	6.139193535
HOS_BONE	0.106993526	5.65893507	NaN	NaN	NaN	0.264917344	NaN	NaN	9.190119201	NaN	NaN	0.006051697	0.061966315	0.047092516	NaN	NaN	NaN	NaN	0.353001893	NaN	8.783818064	NaN	0.500132799	8.245066657
HPAC_PANCREAS	0.087546386	8.955852098	2.107948542	NaN	NaN	0.475268394	NaN	3.950451612	0.641444683	8.030153259	NaN	0.002542614	0.04555222	0.020677781	0.689942598	3.982466698	NaN	NaN	0.684610724	NaN	2.215720654	2.152231216	0.073030099	NaN
HPAFII_PANCREAS	0.108629867	NaN	0.706596732	NaN	1.347590685	NaN	0.660102248	1.367424011	NaN	NaN	NaN	0.006775625	0.55024159	1.08481288	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.821910018	0.741696894	NaN
HS229T_LUNG	0.104346335	NaN	NaN	4.246706486	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.002542614	0.004262242	3.175875664	8.692644273	NaN	NaN	3.01215148	1.836341739	NaN	3.535540581	8.433855819	8.504931075	4.284275532
HS294T_SKIN	0.172179401	3.008372068	4.612277985	0.342419237	3.169720173	0.315041482	NaN	8.063289627	0.052180976	2.756451607	3.660265684	0.002542614	0.06668894	0.051911186	NaN	2.314946651	NaN	2.328400135	0.265676677	NaN	8.102874436	2.54762435	0.580698371	2.44176054
HS578T_BREAST	0.059520297	8.447404923	6.606109619	NaN	NaN	NaN	NaN	NaN	NaN	2.636601925	NaN	0.012234147	0.069573343	8.979272875	8.344950145	3.193168879	NaN	2.436517715	0.836462379	NaN	2.712449074	2.584978104	0.257432729	2.724271297
HS683_CENTRAL_NERVOUS_SYSTEM	0.153227687	8.129931494	1.921799421	NaN	NaN	0.356491297	NaN	7.284635544	NaN	NaN	NaN	0.004462283	0.142536864	8.34854788	1.639889836	9.19212729	NaN	NaN	0.493153572	NaN	4.6233687	3.152775049	1.053019762	NaN
HS695T_SKIN	0.081423536	8.747292265	NaN	0.518636703	NaN	0.231189147	NaN	NaN	NaN	8.327775958	NaN	0.024153892	0.030355072	0.049212229	NaN	8.035823047	NaN	2.851969004	0.910880446	NaN	8.662956152	2.023389339	0.573215008	NaN
HS729_SOFT_TISSUE	0.030450042	9.126202091	7.572293758	NaN	8.404402608	NaN	3.756068468	NaN	8.863941756	NaN	NaN	0.013568742	0.002542614	8.952503876	NaN	3.080497026	NaN	7.39130497	0.3696298	NaN	7.270057201	8.17776336	0.270465702	7.084791183
HS739T_BREAST	0.346120328	9.354552473	NaN	NaN	NaN	0.970893502	NaN	NaN	NaN	0.960276067	NaN	NaN	0.161708698	NaN	0.144997075	2.871164083	NaN	NaN	0.105217367	NaN	2.255266428	7.036478519	8.310254621	2.719091654
HS746T_STOMACH	0.089458182	8.86434587	8.849842146	8.859736668	9.307457919	NaN	8.189349273	8.455546682	NaN	9.006840753	NaN	0.021506285	0.038495459	8.087196551	0.23062849	0.002542614	0.090939686	NaN	NaN	NaN	2.349987745	9.536109996	1.823946834	3.583155632
HS766T_PANCREAS	0.171976149	8.217544941	0.097341508	0.002542614	2.112795353	4.807946682	NaN	NaN	NaN	2.93998909	NaN	NaN	0.070812233	0.002542614	1.519561172	8.156571552	NaN	NaN	0.333847404	NaN	8.398859117	1.990443826	8.870959512	8.494322426
HS840T_UPPER_AERODIGESTIVE_TRACT	0.03444124	8.875216243	NaN	8.027211207	8.47388778	0.193357348	NaN	NaN	NaN	8.004293803	NaN	0.002542614	0.03758049	8.877280377	2.008582354	8.498551666	NaN	NaN	0.086676225	NaN	2.817919016	1.925553322	8.457366931	3.924586296
HS852T_SKIN	0.046268828	0.630439401	0.520623386	0.094172932	8.739866186	8.685907753	NaN	NaN	NaN	8.214773011	3.225856066	0.016041098	0.055898678	1.670592308	0.630788803	3.197003365	NaN	NaN	0.121020563	7.145461082	0.630113304	8.124071243	8.558369887	5.45002985
HS895T_SKIN	0.383565903	NaN	NaN	NaN	8.191189463	NaN	NaN	9.180201305	NaN	8.378615548	NaN	NaN	0.051357415	NaN	0.240724355	3.25308156	NaN	8.065903117	0.085533954	NaN	1.388749123	NaN	2.458898783	6.585591793
HS936T_SKIN	0.056238528	8.495500102	NaN	0.182331875	NaN	0.583280504	NaN	NaN	NaN	NaN	NaN	NaN	0.019348286	0.031704303	0.922351778	7.194019794	NaN	3.985270739	8.229054428	NaN	3.055045605	8.386525863	1.413351059	8.123985427
HS939T_SKIN	0.028618159	NaN	NaN	0.129027545	NaN	NaN	0.09920375	NaN	1.480985999	8.340245751	NaN	0.007074956	0.045977067	0.015624173	8.321300724	NaN	NaN	0.847466707	1.999520659	NaN	NaN	7.073915482	3.612051249	8.380037582
HS944T_SKIN	0.106417872	8.689236463	0.940276742	0.528259277	8.070107721	0.085375831	8.367419258	8.393867884	0.083441332	7.793718338	NaN	0.004274909	0.047330931	0.014795478	NaN	3.289626837	NaN	2.805363655	0.14436242	8.311541905	3.092316389	8.311024016	0.114304759	NaN
HSC2_UPPER_AERODIGESTIVE_TRACT	0.542286038	NaN	2.652791262	NaN	1.017567992	0.131046042	NaN	2.446460962	NaN	NaN	8.446540881	0.00259418	0.293913543	1.620536923	NaN	NaN	NaN	NaN	8.835677147	5.232250214	NaN	8.770953116	0.100592457	2.90025115
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.179806605	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.004039119	0.007997419	NaN	NaN	2.655036926	NaN	NaN	NaN	8.071539734	NaN	NaN	0.22960256	NaN
HT1080_SOFT_TISSUE	0.103699848	8.633543787	NaN	0.21067825	NaN	NaN	NaN	8.60871664	3.219331741	NaN	3.490234137	0.012425525	0.045716301	0.020372592	NaN	3.162342548	NaN	1.891530514	0.639746308	NaN	2.67997098	2.160458565	0.183220416	3.363157272
HT1197_URINARY_TRACT	0.245931655	8.531428301	2.418441534	0.335529506	0.079169571	8.913338984	NaN	8.528633061	NaN	NaN	NaN	NaN	0.058580812	0.002542614	NaN	6.850502491	NaN	NaN	0.184001148	8.013929979	9.197566447	0.640536964	8.349229519	1.974016428
HT1376_URINARY_TRACT	0.002542614	1.417314887	0.183670878	NaN	1.896998405	8.001174556	NaN	1.299102783	NaN	NaN	NaN	NaN	0.088429026	NaN	NaN	1.376694679	NaN	NaN	0.002542614	NaN	2.193236589	0.589684904	NaN	0.447936356
HT144_SKIN	0.076719917	3.215185642	NaN	0.109943047	9.204066346	0.949263453	NaN	2.528650999	NaN	3.392899752	2.431288719	0.019046592	0.079874143	0.002542614	NaN	4.756692886	7.703046322	0.829790115	0.331210256	6.365860939	8.172978369	NaN	1.149376154	NaN
HT29_LARGE_INTESTINE	0.017338548	1.592987418	8.311348783	0.075015076	NaN	0.275243551	3.901473761	8.719822234	NaN	8.812398692	NaN	0.008454252	0.048708074	0.002542614	0.556987107	7.983571529	NaN	0.455894113	0.631251872	3.729815245	0.742986739	8.193925793	0.782295167	4.299045563
HUCCT1_BILIARY_TRACT	0.079780571	8.685516998	NaN	0.109219298	8.800328501	1.986645699	NaN	8.63322561	9.143110693	8.643622381	NaN	0.007226141	0.088008732	0.016804576	NaN	8.201625337	NaN	8.116095853	8.696812082	3.524470806	3.395175934	8.77955148	0.782246172	3.071935654
HUH1_LIVER	0.033712391	1.376995087	0.506565392	NaN	8.384017464	0.347100317	NaN	NaN	NaN	8.2515737	NaN	0.052121904	0.111760013	1.045213103	1.376191974	NaN	NaN	NaN	0.140613467	8.037207042	1.13311553	1.340920687	0.826763272	7.602715492
HUPT3_PANCREAS	0.229888469	8.952483802	6.613750935	0.2241676	NaN	8.060005953	NaN	0.161639333	8.242538319	0.176628724	NaN	0.014928265	0.074324034	0.077656463	1.910941005	8.176331446	NaN	NaN	0.679014146	NaN	NaN	8.498038693	1.930503488	1.741195679
HUPT4_PANCREAS	0.006938977	NaN	1.063181877	NaN	8.707663046	NaN	NaN	8.327871311	NaN	8.330956838	NaN	0.010355745	0.022720663	0.002542614	NaN	8.439691596	NaN	NaN	0.188357458	NaN	0.472409159	NaN	0.113058694	0.628464997
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.241394043	NaN	8.973648291	0.074428268	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.011621781	0.005524175	0.01134356	NaN	NaN	NaN	NaN	4.47668457	NaN	NaN	NaN	0.167574629	NaN
IALM_LUNG	0.936279118	NaN	NaN	NaN	NaN	1.037106991	NaN	NaN	NaN	NaN	NaN	NaN	0.117108881	NaN	NaN	NaN	NaN	NaN	8.448905381	4.68627739	NaN	NaN	0.67360121	NaN
IGR37_SKIN	0.020577401	NaN	NaN	0.165571898	NaN	0.27990514	NaN	NaN	5.028572083	9.056224834	NaN	0.009395475	0.044760253	0.020583348	NaN	3.10767889	NaN	0.401444614	0.443375409	NaN	2.281206369	8.377175598	0.681570232	NaN
IGR39_SKIN	0.014463118	6.375509262	0.592328668	2.692181587	NaN	0.340647101	NaN	NaN	NaN	NaN	NaN	0.049009342	0.034897905	NaN	NaN	NaN	NaN	2.593881369	0.592297018	NaN	NaN	8.643879452	0.479778647	NaN
IGROV1_OVARY	0.409140021	NaN	0.542271137	8.158737239	0.499017566	0.799905777	NaN	0.575531602	NaN	8.934597249	NaN	0.002542614	0.093929715	NaN	NaN	NaN	NaN	NaN	NaN	7.846647739	2.373689413	8.795819093	0.284011841	NaN
IM95_STOMACH	0.031020297	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.020860855	0.046863057	0.002542614	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.865162909
IMR32_AUTONOMIC_GANGLIA	1.376783013	3.01675272	0.826575875	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.08159399	NaN	0.029385231	NaN	0.690405667	2.617765665	8.140401546	8.064737108	1.599569559	NaN	1.051936746	4.491795063	0.030487701	2.98696208
IPC298_SKIN	0.069171287	8.599734003	NaN	0.059587378	8.472662667	0.300517142	8.275113561	4.237603664	NaN	3.673153162	NaN	0.044096105	0.045362264	0.002542614	NaN	8.361158585	NaN	8.615665324	0.07104972	7.904875278	8.039010309	1.061816454	0.404156685	NaN
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM	0.092912421	2.348448277	NaN	NaN	NaN	NaN	NaN	0.619905353	NaN	NaN	NaN	0.00818708	0.024552463	0.068229415	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.542687893	2.11561799
ISTMES1_PLEURA	0.446469784	NaN	0.794028282	NaN	NaN	0.544081092	NaN	0.002542614	NaN	NaN	0.002542614	0.029328568	0.056257222	NaN	0.175079182	8.038511015	2.358334064	NaN	0.46282503	9.281866005	3.822900057	NaN	0.137408018	5.16253376
ISTMES2_PLEURA	0.07066308	0.373697668	3.534788847	NaN	8.323075691	0.065687485	0.388402373	8.12534362	NaN	NaN	NaN	0.009679077	0.043309648	9.041850591	0.234981507	3.065595865	NaN	3.47233057	0.103225768	3.710124254	2.160493612	2.17574501	0.031527817	3.155753613
J82_URINARY_TRACT	0.085465223	2.617492437	NaN	NaN	NaN	NaN	NaN	NaN	8.887037787	NaN	NaN	0.012702885	0.109020449	2.473379135	NaN	3.820840597	NaN	NaN	3.33649826	NaN	2.536017656	2.222498178	0.517374635	3.340497255
JHH2_LIVER	0.920341969	8.953401009	0.50803256	NaN	0.266114146	8.501724346	NaN	8.331021787	NaN	3.801424026	NaN	0.098005205	0.079711422	8.857480159	NaN	3.262732983	NaN	NaN	0.210004613	NaN	2.221434116	8.608620073	NaN	2.248444796
JHH4_LIVER	0.652017474	8.597960697	1.492508292	3.032397509	8.008284116	0.267112136	NaN	0.48136571	2.498391151	2.580118895	NaN	0.09941759	0.070193954	2.175676107	NaN	NaN	NaN	2.80483532	1.735906601	NaN	2.637005329	8.828717241	0.115564704	4.831984997
JHH5_LIVER	0.01970833	5.97197485	2.485337019	NaN	0.932588458	NaN	NaN	0.494771987	NaN	NaN	NaN	0.004413758	0.043838613	0.380337358	NaN	8.01671356	2.611451626	NaN	2.655949116	4.83654356	2.499131441	8.13728984	0.120246038	1.122163892
JHH6_LIVER	0.258767128	NaN	NaN	NaN	NaN	2.716456175	NaN	NaN	NaN	NaN	NaN	0.020525226	0.238836899	NaN	NaN	NaN	NaN	NaN	1.602066159	NaN	NaN	1.809750915	NaN	NaN
JHH7_LIVER	0.07192935	1.592585444	NaN	1.508015037	2.629088402	NaN	NaN	9.090460058	NaN	NaN	2.425389767	0.005261273	0.051777694	0.105197445	NaN	3.595125437	NaN	NaN	NaN	3.229723454	1.640935898	2.613090515	8.790332148	7.385255337
JHOS2_OVARY	0.089294441	8.937328059	NaN	NaN	NaN	NaN	8.382694202	NaN	0.752495646	NaN	NaN	0.024934974	0.162160337	0.178464696	NaN	NaN	NaN	3.434293985	NaN	NaN	4.068669796	3.503976583	0.075215131	NaN
JHOS4_OVARY	1.390111327	8.511230561	0.091256395	NaN	0.184322223	NaN	NaN	8.645317041	0.087566972	8.425420229	NaN	0.009488862	0.002542614	NaN	NaN	2.305319786	NaN	NaN	2.539358139	NaN	2.750857353	NaN	8.317020152	1.325049281
JHUEM2_ENDOMETRIUM	0.056507904	0.59694469	8.668703671	NaN	0.134762362	NaN	NaN	NaN	NaN	NaN	8.029330806	0.006095077	0.005630607	2.198953152	NaN	5.011953831	NaN	NaN	NaN	NaN	4.486836433	8.767964868	0.082447566	2.864762545
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.151369452	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.127332962	NaN	0.01782012	0.028462736	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.184458584	NaN
JMSU1_URINARY_TRACT	0.046007138	2.346405745	8.9465307	8.564432123	2.078505993	0.147658795	4.181313038	NaN	NaN	3.698751211	8.34501577	0.014730503	0.049236633	1.049455762	1.322960854	8.183458091	NaN	3.365991354	0.100930177	3.281527758	0.438115776	0.306670099	0.098962329	2.096549273
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.795484781	8.63102291	0.311872631	NaN	8.332445858	0.056117419	8.200065226	8.672696986	NaN	3.388038397	NaN	0.00275075	0.020938473	NaN	1.586204171	1.302514911	3.065923214	3.102253437	0.127121404	3.382384539	0.882688642	1.509266496	0.054496005	1.776762247
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.073130772	8.044074396	0.208542764	0.052935768	5.03568697	0.016598221	NaN	NaN	NaN	NaN	NaN	NaN	0.014623149	NaN	0.355375916	4.426972389	NaN	8.020359801	0.096932352	8.069968231	1.118497014	8.491278875	0.008192105	2.26429987
K029AX_SKIN	0.045011476	8.573261535	NaN	0.151669219	NaN	0.279547036	NaN	6.970349312	NaN	5.484663486	6.32303524	NaN	0.045981128	0.015809378	0.270012408	7.823853016	8.130042375	0.349658072	0.235321194	NaN	8.254008508	3.093776464	0.524236321	7.917644501
KALS1_CENTRAL_NERVOUS_SYSTEM	0.058672283	NaN	1.469589949	8.2340064	NaN	0.149355695	NaN	NaN	2.695747137	6.307493687	NaN	0.010822855	0.095036663	1.49147439	NaN	NaN	NaN	4.453267574	0.183658823	NaN	2.467201948	2.369033575	0.225181267	NaN
